code,title,description,skills,tasks
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.","[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""critical thinking"", ""monitoring"", ""social perceptiveness"", ""coordination"", ""persuasion"", ""negotiation"", ""complex problem solving"", ""judgment and decision making"", ""systems analysis"", ""systems evaluation"", ""time management"", ""management of financial resources"", ""management of material resources"", ""management of personnel resources""]","[""direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency."", ""confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems."", ""prepare budgets for approval, including those for funding or implementation of programs."", ""direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity."", ""prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services."", ""implement corrective action plans to solve organizational or departmental problems."", ""analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change."", ""direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products."", ""direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments."", ""appoint department heads or managers and assign or delegate responsibilities to them."", ""interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals."", ""review reports submitted by staff members to recommend approval or to suggest changes."", ""negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.""]"
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.","[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""critical thinking"", ""complex problem solving""]","[""monitor and evaluate effectiveness of sustainability programs."", ""develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design."", ""develop, or oversee the development of, sustainability evaluation or monitoring systems."", ""supervise employees or volunteers working on sustainability projects."", ""develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.""]"
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.","[""reading comprehension"", ""active listening"", ""speaking"", ""monitoring""]","[""review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement."", ""direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products."", ""direct administrative activities directly related to making products or providing services.""]"
11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.","[""active listening"", ""speaking"", ""critical thinking"", ""social perceptiveness""]","[""plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies."", ""inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.""]"
11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.","[""active listening"", ""speaking"", ""persuasion""]","[""direct and coordinate activities involving sales of manufactured products, services, commodities, real estate, or other subjects of sale."", ""resolve customer complaints regarding sales and service.""]"
11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.","[""reading comprehension"", ""active listening"", ""critical thinking""]","[""direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines."", ""meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems."", ""review project plans to plan and coordinate project activity."", ""assign and review the work of systems analysts, programmers, and other computer-related workers.""]"
11-3031.00,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.","[""reading comprehension"", ""active listening"", ""speaking"", ""critical thinking""]","[""establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter."", ""oversee the flow of cash or financial instruments."", ""plan, direct, or coordinate the activities of workers in branches, offices, or departments of establishments, such as branch banks, brokerage firms, risk and insurance departments, or credit departments.""]"
11-3031.01,Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.","[""reading comprehension"", ""speaking"", ""critical thinking"", ""complex problem solving"", ""judgment and decision making"", ""management of financial resources""]","[""evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations."", ""delegate authority for the receipt, disbursement, banking, protection, and custody of funds, securities, and financial instruments."", ""develop and maintain relationships with banking, insurance, and external accounting personnel to facilitate financial activities."", ""monitor financial activities and details, such as cash flow and reserve levels, to ensure that all legal and regulatory requirements are met."", ""receive, record, and authorize requests for disbursements in accordance with company policies and procedures."", ""develop internal control policies, guidelines, and procedures for activities, such as budget administration, cash and credit management, and accounting."", ""coordinate and direct the financial planning, budgeting, procurement, or investment activities of all or part of an organization."", ""receive cash and checks and make deposits."", ""prepare or direct preparation of financial statements, business activity reports, financial position forecasts, annual budgets, or reports required by regulatory agencies."", ""monitor and evaluate the performance of accounting and other financial staff, recommending and implementing personnel actions, such as promotions and dismissals."", ""analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed."", ""conduct or coordinate audits of company accounts and financial transactions to ensure compliance with state and federal requirements and statutes."", ""advise management on short-term and long-term financial objectives, policies, and actions."", ""maintain current knowledge of organizational policies and procedures, federal and state policies and directives, and current accounting standards.""]"
11-3031.03,Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.","[""reading comprehension"", ""active listening"", ""critical thinking""]","[""manage investment funds to maximize return on client investments."", ""select specific investments or investment mixes for purchase by an investment fund."", ""monitor financial or operational performance of individual investments to ensure portfolios meet risk goals."", ""select or direct the execution of trades."", ""develop or implement fund investment policies or strategies."", ""perform or evaluate research, such as detailed company or industry analyses, to inform financial forecasting, decision making, or valuation."", ""present investment information, such as product risks, fees, or fund performance statistics."", ""develop, implement, or monitor security valuation policies."", ""meet with investors to determine investment goals or to discuss investment strategies."", ""attend investment briefings or consult financial media to stay abreast of relevant investment markets.""]"
11-3051.00,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.","[""speaking"", ""critical thinking"", ""monitoring"", ""coordination"", ""judgment and decision making""]","[""set and monitor product standards, examining samples of raw products or directing testing during processing, to ensure finished products are of prescribed quality."", ""direct or coordinate production, processing, distribution, or marketing activities of industrial organizations.""]"
11-3051.01,Quality Control Systems Managers,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.","[""reading comprehension"", ""quality control analysis"", ""judgment and decision making""]","[""stop production if serious product defects are present."", ""review and update standard operating procedures or quality assurance manuals."", ""monitor performance of quality control systems to ensure effectiveness and efficiency."", ""review quality documentation necessary for regulatory submissions and inspections."", ""analyze quality control test results and provide feedback and interpretation to production management or staff."", ""verify that raw materials, purchased parts or components, in-process samples, and finished products meet established testing and inspection standards."", ""oversee workers including supervisors, inspectors, or laboratory workers engaged in testing activities."", ""direct product testing activities throughout production cycles."", ""instruct staff in quality control and analytical procedures."", ""direct the tracking of defects, test results, or other regularly reported quality control data."", ""participate in the development of product specifications."", ""identify quality problems or areas for improvement and recommend solutions."", ""collect and analyze production samples to evaluate quality.""]"
11-3051.02,Geothermal Production Managers,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,"[""critical thinking""]","[""supervise employees in geothermal power plants or well fields."", ""oversee geothermal plant operations, maintenance, and repairs to ensure compliance with applicable standards or regulations."", ""communicate geothermal plant conditions to employees."", ""identify and evaluate equipment, procedural, or conditional inefficiencies involving geothermal plant systems."", ""perform or direct the performance of preventative maintenance on geothermal plant equipment.""]"
11-3051.04,Biomass Power Plant Managers,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.","[""speaking"", ""critical thinking""]","[""manage safety programs at power generation facilities."", ""review biomass operations performance specifications to ensure compliance with regulatory requirements."", ""review logs, datasheets, or reports to ensure adequate production levels and safe production environments or to identify abnormalities with power production equipment or processes."", ""supervise operations or maintenance employees in the production of power from biomass, such as wood, coal, paper sludge, or other waste or refuse."", ""supervise biomass plant or substation operations, maintenance, repair, or testing activities.""]"
11-3051.06,Hydroelectric Production Managers,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,"[""active listening"", ""speaking""]","[""direct operations, maintenance, or repair of hydroelectric power facilities."", ""identify and communicate power system emergencies."", ""maintain records of hydroelectric facility operations, maintenance, or repairs."", ""perform or direct preventive or corrective containment or cleanup to protect the environment."", ""monitor or inspect hydroelectric equipment, such as hydro-turbines, generators, or control systems."", ""inspect hydroelectric facilities, including switchyards, control houses, or relay houses, for normal operation or adherence to safety standards."", ""supervise or monitor hydroelectric facility operations to ensure that generation or mechanical equipment conform to applicable regulations or standards."", ""plan or coordinate hydroelectric production operations to meet customer requirements."", ""check hydroelectric operations for compliance with prescribed operating limits, such as loads, voltages, temperatures, lines, or equipment.""]"
11-3061.00,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.","[""active listening"", ""speaking"", ""management of personnel resources""]","[""develop and implement purchasing and contract management instructions, policies, and procedures."", ""locate vendors of materials, equipment or supplies, and interview them to determine product availability and terms of sales."", ""prepare bid awards requiring board approval."", ""direct and coordinate activities of personnel engaged in buying, selling, and distributing materials, equipment, machinery, and supplies."", ""review purchase order claims and contracts for conformance to company policy."", ""review, evaluate, and approve specifications for issuing and awarding bids."", ""administer online purchasing systems."", ""prepare and process requisitions and purchase orders for supplies and equipment."", ""interview and hire staff, and oversee staff training."", ""develop cost reduction strategies and savings plans."", ""control purchasing department budgets."", ""resolve vendor or contractor grievances and claims against suppliers."", ""analyze market and delivery systems to assess present and future material availability."", ""participate in the development of specifications for equipment, products, or substitute materials."", ""maintain records of goods ordered and received."", ""represent companies in negotiating contracts and formulating policies with suppliers.""]"
11-3071.04,Supply Chain Managers,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.","[""reading comprehension"", ""active listening"", ""speaking"", ""monitoring"", ""coordination"", ""judgment and decision making"", ""time management""]","[""determine appropriate equipment and staffing levels to load, unload, move, or store materials."", ""manage activities related to strategic or tactical purchasing, material requirements planning, controlling inventory, warehousing, or receiving."", ""select transportation routes to maximize economy by combining shipments or consolidating warehousing and distribution."", ""define performance metrics for measurement, comparison, or evaluation of supply chain factors, such as product cost or quality."", ""implement new or improved supply chain processes to improve efficiency or performance."", ""develop procedures for coordination of supply chain management with other functional areas, such as sales, marketing, finance, production, or quality assurance."", ""confer with supply chain planners to forecast demand or create supply plans that ensure availability of materials or products."", ""analyze inventories to determine how to increase inventory turns, reduce waste, or optimize customer service."", ""negotiate prices and terms with suppliers, vendors, or freight forwarders."", ""analyze information about supplier performance or procurement program success.""]"
11-3111.00,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization.","[""reading comprehension"", ""active listening"", ""writing"", ""speaking""]","[""direct preparation and distribution of written and verbal information to inform employees of benefits, compensation, and personnel policies."", ""design, evaluate, and modify benefits policies to ensure that programs are current, competitive, and in compliance with legal requirements."", ""fulfill all reporting requirements of all relevant government rules and regulations, including the employee retirement income security act (erisa)."", ""analyze compensation policies, government regulations, and prevailing wage rates to develop competitive compensation plan."", ""identify and implement benefits to increase the quality of life for employees by working with brokers and researching benefits issues."", ""manage the design and development of tools to assist employees in benefits selection, and to guide managers through compensation decisions."", ""administer, direct, and review employee benefit programs, including the integration of benefit programs following mergers and acquisitions."", ""mediate between benefits providers and employees, such as by assisting in handling employees' benefits-related questions or taking suggestions."", ""plan, direct, supervise, and coordinate work activities of subordinates and staff relating to employment, compensation, labor relations, and employee relations.""]"
11-3121.00,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization.","[""reading comprehension"", ""active listening"", ""speaking"", ""judgment and decision making"", ""management of personnel resources""]","[""serve as a link between management and employees by handling questions, interpreting and administering contracts and helping resolve work-related problems."", ""advise managers on organizational policy matters, such as equal employment opportunity and sexual harassment, and recommend needed changes."", ""analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements."", ""perform difficult staffing duties, including dealing with understaffing, refereeing disputes, firing employees, and administering disciplinary procedures."", ""represent organization at personnel-related hearings and investigations."", ""negotiate bargaining agreements and help interpret labor contracts."", ""identify staff vacancies and recruit, interview, and select applicants."", ""plan, direct, supervise, and coordinate work activities of subordinates and staff relating to employment, compensation, labor relations, and employee relations."", ""prepare personnel forecast to project employment needs."", ""provide current and prospective employees with information about policies, job duties, working conditions, wages, opportunities for promotion, and employee benefits."", ""investigate and report on industrial accidents for insurance carriers."", ""administer compensation, benefits, and performance management systems, and safety and recreation programs."", ""analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices."", ""plan, organize, direct, control, or coordinate the personnel, training, or labor relations activities of an organization."", ""allocate human resources, ensuring appropriate matches between personnel."", ""oversee the evaluation, classification, and rating of occupations and job positions."", ""plan and conduct new employee orientation to foster positive attitude toward organizational objectives.""]"
11-3131.00,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.","[""reading comprehension"", ""active listening"", ""speaking"", ""learning strategies"", ""instructing""]","[""analyze training needs to develop new training programs or modify and improve existing programs."", ""evaluate instructor performance and the effectiveness of training programs, providing recommendations for improvement."", ""plan, develop, and provide training and staff development programs, using knowledge of the effectiveness of methods such as classroom training, demonstrations, on-the-job training, meetings, conferences, and workshops."", ""confer with management and conduct surveys to identify training needs based on projected production processes, changes, and other factors."", ""conduct orientation sessions and arrange on-the-job training for new hires."", ""train instructors and supervisors in techniques and skills for training and dealing with employees."", ""develop and organize training manuals, multimedia visual aids, and other educational materials."", ""prepare training budget for department or organization.""]"
11-9021.00,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.","[""coordination"", ""management of personnel resources""]","[""plan, schedule, or coordinate construction project activities to meet deadlines."", ""prepare and submit budget estimates, progress reports, or cost tracking reports."", ""interpret and explain plans and contract terms to representatives of the owner or developer, including administrative staff, workers, or clients."", ""direct and supervise construction or related workers."", ""prepare contracts or negotiate revisions to contractual agreements with architects, consultants, clients, suppliers, or subcontractors."", ""confer with supervisory personnel, owners, contractors, or design professionals to discuss and resolve matters, such as work procedures, complaints, or construction problems."", ""plan, organize, or direct activities concerned with the construction or maintenance of structures, facilities, or systems."", ""study job specifications to determine appropriate construction methods."", ""inspect or review projects to monitor compliance with building and safety codes or other regulations."", ""investigate damage, accidents, or delays at construction sites to ensure that proper construction procedures are being followed."", ""implement new or modified plans in response to delays, bad weather, or construction site emergencies.""]"
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.","[""reading comprehension"", ""active listening"", ""speaking"", ""critical thinking"", ""monitoring"", ""coordination""]","[""confer with parents and staff to discuss educational activities and policies and students' behavioral or learning problems."", ""monitor students' progress and provide students and teachers with assistance in resolving any problems."", ""recruit, hire, train, and evaluate primary and supplemental staff and recommend personnel actions for programs and services."", ""teach classes or courses or provide direct care to children."", ""set educational standards and goals and help establish policies, procedures, and programs to carry them out."", ""determine the scope of educational program offerings and prepare drafts of program schedules and descriptions to estimate staffing and facility requirements."", ""determine allocations of funds for staff, supplies, materials, and equipment and authorize purchases."", ""direct and coordinate activities of teachers or administrators at daycare centers, schools, public agencies, or institutions."", ""prepare and maintain attendance, activity, planning, accounting, or personnel reports and records for officials and agencies, or direct preparation and maintenance activities.""]"
11-9032.00,"Education Administrators, Kindergarten through Secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.","[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""critical thinking"", ""learning strategies"", ""monitoring"", ""social perceptiveness"", ""coordination"", ""complex problem solving"", ""judgment and decision making"", ""management of personnel resources""]","[""evaluate curricula, teaching methods, and programs to determine their effectiveness, efficiency, and use, and to ensure compliance with federal, state, and local regulations."", ""observe teaching methods and examine learning materials to evaluate and standardize curricula and teaching techniques and to determine areas for improvement."", ""counsel and provide guidance to students regarding personal, academic, vocational, or behavioral issues."", ""collaborate with teachers to develop and maintain curriculum standards, develop mission statements, and set performance goals and objectives."", ""direct and coordinate activities of teachers, administrators, and support staff at schools, public agencies, and institutions."", ""recruit, hire, train, and evaluate primary and supplemental staff."", ""confer with parents and staff to discuss educational activities, policies, and student behavior or learning problems."", ""enforce discipline and attendance rules."", ""create school improvement plans, using student performance data.""]"
