affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used
embedding_cosine,detector,NCFD,0.329857143,0.110857143,1
embedding_cosine,detector,CAI,0.329857143,0.110857143,1
embedding_cosine,detector,EMND,0.329857143,0.110857143,1.02
embedding_cosine,detector,NTAD,0.335748918,0.068,3.32
pmi,detector,CAI,0.329857143,0.110857143,1
pmi,detector,NCFD,0.329857143,0.110857143,1
pmi,detector,EMND,0.351857143,0.110857143,1.06
pmi,detector,NTAD,0.372492063,0.048,3.14
condprob,detector,NCFD,0.329857143,0.110857143,1
condprob,detector,CAI,0.329857143,0.110857143,1
condprob,detector,EMND,0.351857143,0.110857143,1.06
condprob,detector,NTAD,0.394206349,0.089333333,3.36
