affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used
embedding_cosine,detector,NCFD,0.62942419,0.290823885,1
embedding_cosine,detector,CAI,0.62942419,0.290823885,1
embedding_cosine,detector,EMND,0.62942419,0.290823885,1
embedding_cosine,detector,NTAD,0.399473082,0.134793651,3.56
pmi,detector,NCFD,0.62942419,0.290823885,1
pmi,detector,CAI,0.62942419,0.290823885,1
pmi,detector,EMND,0.62942419,0.290823885,1
pmi,detector,NTAD,0.365358308,0.110407814,3.02
condprob,detector,NCFD,0.62942419,0.290823885,1
condprob,detector,CAI,0.62942419,0.290823885,1
condprob,detector,EMND,0.62942419,0.290823885,1
condprob,detector,NTAD,0.630323232,0.283133089,3.02
