run,reuse,affinity,stopping,detector,node_f1,edge_f1,avg_neighbours_used,int_node_f1,coverage,status,error
2,bm,embedding_cosine,detector,NTAD,0.14215873,0.045714286,1,0.14215873,1,ok,
1,bm,embedding_cosine,alpha,-,0.14215873,0.045714286,1,0.14215873,1,ok,
3,bm,embedding_cosine,hybrid,NTAD,0.14215873,0.045714286,1,0.14215873,1,ok,
4,bm,condprob,alpha,-,0.14215873,0.045714286,1,0.14215873,1,ok,
5,bm,condprob,detector,NTAD,0.14215873,0.045714286,1,0.14215873,1,ok,
7,bm,pmi,alpha,-,0.14215873,0.045714286,1,0.14215873,1,ok,
6,bm,condprob,hybrid,NTAD,0.14215873,0.045714286,1,0.14215873,1,ok,
8,bm,pmi,detector,NTAD,0.14215873,0.045714286,1,0.14215873,1,ok,
9,bm,pmi,hybrid,NTAD,0.14215873,0.045714286,1,0.14215873,1,ok,
11,gsa,embedding_cosine,detector,NTAD,0.197380952,0.04,3.82,0.14815873,1,ok,
10,gsa,embedding_cosine,alpha,-,0.167539683,0.05,1.1,0.166825397,1,ok,
13,gsa,condprob,alpha,-,0.189031746,0.04,2.46,0.18831746,1,ok,
12,gsa,embedding_cosine,hybrid,NTAD,0.187380952,0.04,3.08,0.14815873,1,ok,
14,gsa,condprob,detector,NTAD,0.209253968,0.04,3.32,0.208539683,1,ok,
15,gsa,condprob,hybrid,NTAD,0.189031746,0.04,2.46,0.18831746,1,ok,
17,gsa,pmi,detector,NTAD,0.191253968,0.02,3.06,0.190539683,1,ok,
16,gsa,pmi,alpha,-,0.157539683,0.04,1.16,0.156825397,1,ok,
18,gsa,pmi,hybrid,NTAD,0.191253968,0.02,1.62,0.190539683,1,ok,
20,nda,embedding_cosine,detector,NTAD,0.160714286,0.02,3.84,0.14815873,1,ok,
21,nda,embedding_cosine,hybrid,NTAD,0.150714286,0.02,3.08,0.14815873,1,ok,
22,nda,condprob,alpha,-,0.189031746,0.04,2.46,0.18831746,1,ok,
23,nda,condprob,detector,NTAD,0.209253968,0.04,3.32,0.208539683,1,ok,
24,nda,condprob,hybrid,NTAD,0.189031746,0.04,2.46,0.18831746,1,ok,
25,nda,pmi,alpha,-,0.157539683,0.04,1.16,0.156825397,1,ok,
26,nda,pmi,detector,NTAD,0.191253968,0.02,3.06,0.190539683,1,ok,
27,nda,pmi,hybrid,NTAD,0.191253968,0.02,1.62,0.190539683,1,ok,
28,gsa_card,embedding_cosine,alpha,-,0.175492063,0.045714286,1.06,0.175492063,1,ok,
29,gsa_card,embedding_cosine,detector,NTAD,0.182683983,0.02,3.5,0.133492063,1,ok,
19,nda,embedding_cosine,alpha,-,0.154206349,0.05,1.1,0.153492063,1,ok,
31,gsa_card,condprob,alpha,-,0.246190476,0.02,3.28,0.24547619,1,ok,
32,gsa_card,condprob,detector,NTAD,0.242634921,0.04,3.12,0.241920635,1,ok,
33,gsa_card,condprob,hybrid,NTAD,0.246190476,0.02,3.28,0.24547619,1,ok,
34,gsa_card,pmi,alpha,-,0.14215873,0.045714286,1,0.14215873,1,ok,
35,gsa_card,pmi,detector,NTAD,0.236571429,0.02,3.14,0.235857143,1,ok,
30,gsa_card,embedding_cosine,hybrid,NTAD,0.161572872,0.02,2.76,0.128492063,1,ok,
36,gsa_card,pmi,hybrid,NTAD,0.216444444,0.026666667,1.72,0.216444444,1,ok,
